origin,destination,volume,,Origin(total),Volume(total),,x,y
06001,01073,12,,06001,185406,,-121.91748,37.6502586
06001,01089,31,,06003,172,,-119.82062,38.5969738
06001,01095,155,,06005,6064,,-120.65144,38.4461825
06001,01097,9,,06007,28497,,-121.60075,39.6672459
06001,01107,9,,06009,5189,,-120.55416,38.2048283
06001,02020,123,,06011,2252,,-122.23638,39.1772341
06001,02090,74,,06013,112786,,-121.951,37.9232772
06001,02100,1,,06015,5432,,-123.95696,41.7447826
06001,02130,16,,06017,27086,,-120.52493,38.7788989
06001,02150,32,,06019,57014,,-119.64945,36.7580252
06001,04001,25,,06021,2639,,-122.39167,39.5977723
06001,04003,1,,06023,15442,,-123.91528,40.7049219
06001,04005,109,,06025,12412,,-115.36576,33.0384648
06001,04013,"1,341",,06027,3042,,-117.41119,36.5111321
06001,04015,97,,06029,71880,,-118.72967,35.3425552
06001,04017,8,,06031,22601,,-119.81532,36.0753366
06001,04019,617,,06033,9566,,-122.75322,39.0998263
06001,04021,70,,06035,9296,,-120.59472,40.6735317
06001,04023,22,,06037,526594,,-118.26074,34.1994109
06001,04025,25,,06039,17463,,-119.76264,37.2181441
06001,04027,30,,06041,35156,,-122.74818,38.0556509
06001,05007,10,,06043,2376,,-119.90544,37.5813348
06001,05119,30,,06045,8520,,-123.43148,39.4337056
06001,06005,97,,06047,26490,,-120.71772,37.1915159
06001,06007,"1,563",,06049,1818,,-120.72513,41.5897631
06001,06009,398,,06051,1331,,-118.88756,37.9390882
06001,06011,29,,06053,44934,,-121.30897,36.2401023
06001,06013,"26,768",,06055,14336,,-122.33029,38.506604
06001,06015,96,,06057,10967,,-120.76821,39.3015854
06001,06017,824,,06059,237727,,-117.77627,33.6771328
06001,06019,"1,507",,06061,48952,,-120.71772,39.0637476
06001,06021,10,,06063,2906,,-120.83853,40.0046435
06001,06023,651,,06065,211937,,-115.99407,33.7429835
06001,06025,192,,06067,139231,,-121.34459,38.4489923
06001,06027,31,,06069,6509,,-121.07498,36.6055472
06001,06029,274,,06071,202305,,-116.17852,34.8407817
06001,06031,193,,06073,286644,,-116.7707,33.0278674
06001,06033,403,,06075,120246,,-122.68974,37.7599589
06001,06035,5,,06077,63621,,-121.27086,37.9347109
06001,06037,"9,836",,06079,35821,,-120.45224,35.3875726
06001,06039,160,,06081,87366,,-122.35541,37.4361163
06001,06041,"1,715",,06083,48981,,-120.03041,34.5395625
06001,06043,47,,06085,185117,,-121.69611,37.2324627
06001,06045,396,,06087,33260,,-122.00926,37.0223158
06001,06047,745,,06089,18393,,-122.04115,40.7637524
06001,06051,57,,06091,215,,-120.51664,39.5801422
06001,06053,851,,06093,5586,,-122.54044,41.5925692
06001,06055,553,,06095,51526,,-121.93985,38.2670316
06001,06057,229,,06097,43848,,-122.92259,38.5253754
06001,06059,"2,922",,06099,41243,,-120.99763,37.558535
06001,06061,"1,577",,06101,10758,,-121.69451,39.0347344
06001,06063,45,,06103,7252,,-122.23432,40.1254488
06001,06065,"1,498",,06105,1405,,-123.11227,40.6506605
06001,06067,"6,434",,06107,23663,,-118.80025,36.2197688
06001,06069,59,,06109,8393,,-119.95542,38.0273691
06001,06071,759,,06111,62039,,-119.12546,34.3586082
06001,06073,"3,766",,06113,36989,,-121.90132,38.6864499
06001,06075,"16,107",,06115,12845,,-121.35086,39.2693257
06001,06077,"8,494",,,,,,
06001,06079,895,,,,,,
06001,06081,"8,782",,,,,,
06001,06083,"1,032",,,,,,
06001,06085,"19,689",,,,,,
06001,06087,"2,035",,,,,,
06001,06089,226,,,,,,
06001,06093,62,,,,,,
06001,06095,"3,509",,,,,,
06001,06097,"1,949",,,,,,
06001,06099,"3,291",,,,,,
06001,06101,58,,,,,,
06001,06103,10,,,,,,
06001,06105,1,,,,,,
06001,06107,269,,,,,,
06001,06109,273,,,,,,
06001,06111,783,,,,,,
06001,06113,"1,672",,,,,,
06001,06115,17,,,,,,
06001,08001,237,,,,,,
06001,08005,186,,,,,,
06001,08013,324,,,,,,
06001,08014,29,,,,,,
06001,08031,400,,,,,,
06001,08035,208,,,,,,
06001,08041,163,,,,,,
06001,08047,22,,,,,,
06001,08059,90,,,,,,
06001,08067,24,,,,,,
06001,08069,59,,,,,,
06001,08075,16,,,,,,
06001,08097,19,,,,,,
06001,08113,27,,,,,,
06001,08123,8,,,,,,
06001,09001,148,,,,,,
06001,09003,182,,,,,,
06001,09007,15,,,,,,
06001,09009,213,,,,,,
06001,09011,21,,,,,,
06001,09013,45,,,,,,
06001,09015,6,,,,,,
06001,10003,80,,,,,,
06001,11001,750,,,,,,
06001,12001,54,,,,,,
06001,12009,20,,,,,,
06001,12011,400,,,,,,
06001,12017,63,,,,,,
06001,12019,14,,,,,,
06001,12021,36,,,,,,
06001,12031,194,,,,,,
06001,12033,64,,,,,,
06001,12057,206,,,,,,
06001,12061,9,,,,,,
06001,12069,80,,,,,,
06001,12071,35,,,,,,
06001,12073,24,,,,,,
06001,12081,18,,,,,,
06001,12086,356,,,,,,
06001,12087,20,,,,,,
06001,12095,76,,,,,,
06001,12099,291,,,,,,
06001,12101,86,,,,,,
06001,12103,127,,,,,,
06001,12115,77,,,,,,
06001,12117,94,,,,,,
06001,12127,58,,,,,,
06001,13015,50,,,,,,
06001,13045,13,,,,,,
06001,13051,16,,,,,,
06001,13059,58,,,,,,
06001,13063,71,,,,,,
06001,13067,102,,,,,,
06001,13077,6,,,,,,
06001,13089,206,,,,,,
06001,13097,20,,,,,,
06001,13119,5,,,,,,
06001,13121,652,,,,,,
06001,13127,52,,,,,,
06001,13135,79,,,,,,
06001,13153,29,,,,,,
06001,13217,13,,,,,,
06001,13223,35,,,,,,
06001,13237,7,,,,,,
06001,13241,11,,,,,,
06001,13245,26,,,,,,
06001,13247,10,,,,,,
06001,13313,6,,,,,,
06001,15001,94,,,,,,
06001,15003,486,,,,,,
06001,15009,72,,,,,,
06001,16001,394,,,,,,
06001,16013,5,,,,,,
06001,16027,3,,,,,,
06001,16035,34,,,,,,
06001,16039,10,,,,,,
06001,16055,39,,,,,,
06001,16057,9,,,,,,
06001,16079,5,,,,,,
06001,16083,49,,,,,,
06001,16085,3,,,,,,
06001,17019,145,,,,,,
06001,17031,"1,831",,,,,,
06001,17037,14,,,,,,
06001,17043,249,,,,,,
06001,17063,20,,,,,,
06001,17097,230,,,,,,
06001,17105,16,,,,,,
06001,17111,13,,,,,,
06001,17143,30,,,,,,
